row_index,column,before,after
1,Report Status,IN progress,Open
4,Report Status,pending,Open
6,Report Status,pending,Open
9,Report Status,pending,Open
10,Report Status,IN progress,Open
13,Report Status,pending,Open
15,Report Status,pending,Open
16,Report Status,IN progress,Open
20,Report Status,pending,Open
24,Report Status,IN progress,Open
27,Report Status,pending,Open
32,Report Status,IN progress,Open
33,Report Status,IN progress,Open
42,Report Status,IN progress,Open
43,Report Status,IN progress,Open
46,Report Status,IN progress,Open
51,Report Status,pending,Open
60,Report Status,IN progress,Open
64,Report Status,pending,Open
65,Report Status,IN progress,Open
67,Report Status,pending,Open
68,Report Status,IN progress,Open
70,Report Status,pending,Open
73,Report Status,IN progress,Open
75,Report Status,IN progress,Open
77,Report Status,pending,Open
78,Report Status,IN progress,Open
79,Report Status,pending,Open
83,Report Status,pending,Open
84,Report Status,pending,Open
87,Report Status,pending,Open
90,Report Status,IN progress,Open
92,Report Status,IN progress,Open
97,Report Status,pending,Open
102,Report Status,pending,Open
105,Report Status,IN progress,Open
107,Report Status,IN progress,Open
109,Report Status,pending,Open
111,Report Status,IN progress,Open
115,Report Status,pending,Open
117,Report Status,IN progress,Open
122,Report Status,IN progress,Open
125,Report Status,IN progress,Open
127,Report Status,IN progress,Open
128,Report Status,pending,Open
130,Report Status,IN progress,Open
131,Report Status,IN progress,Open
132,Report Status,IN progress,Open
133,Report Status,IN progress,Open
137,Report Status,pending,Open
140,Report Status,IN progress,Open
144,Report Status,pending,Open
145,Report Status,IN progress,Open
149,Report Status,pending,Open
150,Report Status,IN progress,Open
152,Report Status,pending,Open
153,Report Status,pending,Open
158,Report Status,IN progress,Open
161,Report Status,pending,Open
163,Report Status,IN progress,Open
169,Report Status,IN progress,Open
176,Report Status,pending,Open
181,Report Status,pending,Open
188,Report Status,pending,Open
189,Report Status,pending,Open
199,Report Status,IN progress,Open
202,Report Status,pending,Open
203,Report Status,pending,Open
204,Report Status,IN progress,Open
207,Report Status,IN progress,Open
213,Report Status,pending,Open
214,Report Status,IN progress,Open
215,Report Status,IN progress,Open
217,Report Status,IN progress,Open
218,Report Status,IN progress,Open
219,Report Status,pending,Open
220,Report Status,pending,Open
221,Report Status,pending,Open
224,Report Status,IN progress,Open
225,Report Status,IN progress,Open
230,Report Status,IN progress,Open
231,Report Status,IN progress,Open
237,Report Status,IN progress,Open
239,Report Status,pending,Open
240,Report Status,IN progress,Open
245,Report Status,pending,Open
246,Report Status,pending,Open
247,Report Status,pending,Open
248,Report Status,IN progress,Open
253,Report Status,IN progress,Open
254,Report Status,pending,Open
258,Report Status,IN progress,Open
261,Report Status,IN progress,Open
263,Report Status,IN progress,Open
266,Report Status,pending,Open
0,Contractor Paid Status,paid,Paid
1,Contractor Paid Status,unpaid,Unpaid
4,Contractor Paid Status,paid,Paid
5,Contractor Paid Status,paid,Paid
6,Contractor Paid Status,unpaid,Unpaid
9,Contractor Paid Status,paid,Paid
10,Contractor Paid Status,unpaid,Unpaid
15,Contractor Paid Status,unpaid,Unpaid
20,Contractor Paid Status,unpaid,Unpaid
23,Contractor Paid Status,paid,Paid
