type,content
fact,Sharks existed before trees.
joke,Why don’t programmers like nature? Too many bugs.
fact,Koalas sleep up to 22 hours a day.
joke,Why did the bicycle fall over? It was two-tired.
fact,"Bananas are berries, but strawberries are not."
joke,What do you call fake spaghetti? An impasta.
fact,Honey never spoils; it’s been found in 3000-year-old tombs.
joke,Why did the computer go to the doctor? It caught a virus.
fact,Sloths can hold their breath longer than dolphins.
joke,What do you call cheese that isn’t yours? Nacho cheese.
fact,Octopuses have three hearts.
joke,Why don’t skeletons fight each other? They don’t have the guts.
fact,Sea otters hold hands while sleeping to keep from drifting apart.
joke,Why did the coffee file a police report? It got mugged.
fact,A group of flamingos is called a flamboyance.
joke,Why was the math book sad? Too many problems.
fact,Butterflies can taste with their feet.
joke,What do you call a pile of cats? A meowtain.
fact,A day on Venus is longer than a year on Venus.
joke,Why did the scarecrow win an award? He was outstanding in his field.
fact,Wombat poop is cube-shaped.
joke,Why don’t oysters donate to charity? They’re shellfish.
fact,There are more stars in space than grains of sand on Earth.
joke,Why can’t your nose be 12 inches long? Then it would be a foot.
fact,Pineapples take about two years to grow.
joke,Why did the tomato blush? Because it saw the salad dressing.
fact,An octopus can squeeze through any hole larger than its beak.
joke,"What did the left eye say to the right eye? Between you and me, something smells."
fact,Otters have a pocket in their armpit for their favorite rock.
joke,Why did the computer go to art school? It wanted to learn to draw more attention.
fact,Your stomach gets a new lining every 3 to 4 days.
joke,Why don’t eggs tell jokes? They’d crack each other up.
fact,Dolphins have names for each other.
joke,What kind of tree fits in your hand? A palm tree.
fact,Some turtles can breathe through their butts.
joke,Why can’t you trust atoms? They make up everything.
fact,A bolt of lightning is five times hotter than the sun.
joke,What do you call a sleeping bull? A bulldozer.
fact,Water makes up about 70% of your body weight.
joke,Why don’t elephants use computers? They’re afraid of the mouse.
fact,The Eiffel Tower can be 15 cm taller during the summer.
joke,Why did the golfer bring two pairs of pants? In case he got a hole in one.
fact,Ants never sleep.
joke,Why don’t cows have money? Because farmers milk them dry.
fact,The heart of a blue whale is the size of a small car.
joke,What do you call a bear with no teeth? A gummy bear.
fact,Some cats are allergic to humans.
joke,Why did the belt get arrested? For holding up a pair of pants.
fact,"Rainbows can appear at night, called moonbows."
joke,Why did the cookie go to the doctor? Because it felt crummy.
