quote,author
The best way to predict the future is to create it.,Peter Drucker
"Do what you can, with what you have, where you are.",Theodore Roosevelt
"Strive not to be a success, but rather to be of value.",Albert Einstein
Hardships often prepare ordinary people for an extraordinary destiny.,C.S. Lewis
"Don’t count the days, make the days count.",Muhammad Ali
Opportunities don’t happen. You create them.,Chris Grosser
Success usually comes to those who are too busy to be looking for it.,Henry David Thoreau
Don’t be afraid to give up the good to go for the great.,John D. Rockefeller
"I find that the harder I work, the more luck I seem to have.",Thomas Jefferson
"If you really look closely, most overnight successes took a long time.",Steve Jobs
Act as if what you do makes a difference. It does.,William James
Happiness is not something ready made. It comes from your own actions.,Dalai Lama
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
Keep your face always toward the sunshine—and shadows will fall behind you.,Walt Whitman
Believe you can and you’re halfway there.,Theodore Roosevelt
Quality means doing it right when no one is looking.,Henry Ford
"Limitations live only in our minds. But if we use our imaginations, our possibilities become limitless.",Jamie Paolinetti
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
"Do not wait to strike till the iron is hot, but make it hot by striking.",William Butler Yeats
It always seems impossible until it is done.,Nelson Mandela
Everything you’ve ever wanted is on the other side of fear.,George Addair
Hard work beats talent when talent doesn’t work hard.,Tim Notke
Failure is success in progress.,Albert Einstein
Don’t wish it were easier. Wish you were better.,Jim Rohn
The man who moves a mountain begins by carrying away small stones.,Confucius
Well done is better than well said.,Benjamin Franklin
"Your time is limited, don’t waste it living someone else’s life.",Steve Jobs
Success is walking from failure to failure with no loss of enthusiasm.,Winston Churchill
A journey of a thousand miles begins with a single step.,Lao Tzu
Do one thing every day that scares you.,Eleanor Roosevelt
Great minds discuss ideas; average minds discuss events; small minds discuss people.,Eleanor Roosevelt
The way to get started is to quit talking and begin doing.,Walt Disney
Don’t let yesterday take up too much of today.,Will Rogers
"If you are not willing to risk the unusual, you will have to settle for the ordinary.",Jim Rohn
Motivation is what gets you started. Habit is what keeps you going.,Jim Ryun
Perseverance is not a long race; it is many short races one after the other.,Walter Elliot
Action is the foundational key to all success.,Pablo Picasso
What you get by achieving your goals is not as important as what you become by achieving your goals.,Zig Ziglar
Do not wait; the time will never be ‘just right.’,Napoleon Hill
Don’t watch the clock; do what it does. Keep going.,Sam Levenson
Success seems to be largely a matter of hanging on after others have let go.,William Feather
"If you fell down yesterday, stand up today.",H.G. Wells
Great things never come from comfort zones.,Anonymous
"Push yourself, because no one else is going to do it for you.",Anonymous
Small progress is still progress.,Anonymous
Dream bigger. Do bigger.,Anonymous
Don’t stop when you’re tired. Stop when you’re done.,Marilyn Monroe
Doubt kills more dreams than failure ever will.,Suzy Kassem
"Work hard in silence, let success make the noise.",Frank Ocean
Discipline is the bridge between goals and accomplishment.,Jim Rohn
"You don’t have to be great to start, but you have to start to be great.",Zig Ziglar
